s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,214.1739427,6.8724291,-0.7458831,-0.0003105,41.5421089,3.9828555
1.9983705,215.5305369,8.3397785,-0.746518,-0.0003249,41.7332631,3.9681276
3.996741,216.8880869,9.8062508,-0.7471812,-0.0003383,41.9228438,3.9534759
5.9951116,218.2466322,11.2718097,-0.7478696,-0.0003507,42.1108756,3.9388995
7.9934821,219.6061964,12.736408,-0.7485827,-0.000363,42.297383,3.9243975
9.9918526,220.9668268,14.2000238,-0.7493206,-0.0003754,42.4823894,3.9099694
11.9902231,222.3285579,15.6626217,-0.7500832,-0.0003878,42.6659178,3.8956142
13.9885936,223.6914158,17.124157,-0.7508705,-0.0004002,42.8479907,3.8813313
15.9869642,225.0554455,18.5846056,-0.7516827,-0.0004126,43.0286298,3.8671199
17.9853347,226.420681,20.0439312,-0.7525196,-0.000425,43.2078564,3.8529793
19.9837052,227.7871508,21.502092,-0.7533812,-0.0004374,43.3856914,3.8389088
21.9820757,229.1548971,22.9590606,-0.7542676,-0.0004498,43.5621549,3.8249078
23.9804462,230.5239534,24.4148004,-0.7551788,-0.0004622,43.7372668,3.8109755
25.9788168,231.8943511,25.8692724,-0.7561148,-0.0004746,43.9110464,3.7971113
27.9771873,233.2661291,27.3224456,-0.7570756,-0.000487,44.0835124,3.7770512
29.9755578,234.6393207,28.7742832,-0.7580612,-0.0004994,44.2544004,3.7505275
31.9739283,236.0139601,30.2247492,-0.7590716,-0.0005118,44.423438,3.724255
33.9722988,237.3900827,31.6738089,-0.7601068,-0.0005242,44.5906574,3.6982301
35.9706694,238.7677215,33.121425,-0.7611668,-0.0005366,44.75609,3.6724487
37.9690399,240.1469138,34.5675648,-0.7622516,-0.0005491,44.9197665,3.6469075
39.9674104,241.5276912,36.0121896,-0.7633613,-0.0005615,45.0817166,3.6216026
41.9657809,242.9100866,37.4552618,-0.7644958,-0.0005739,45.2419692,3.5965307
43.9641514,244.2941403,38.8967519,-0.7656551,-0.0005864,45.4005526,3.5716884
45.962522,245.6798801,40.3366171,-0.7668393,-0.0005988,45.5574943,3.5470723
47.9608925,247.0673387,41.7748198,-0.7680484,-0.0006112,45.7128212,3.5226791
49.959263,248.4565593,43.2113332,-0.7692823,-0.0006237,45.8665592,3.4985058
51.9576335,249.8475659,44.6461108,-0.770541,-0.0006361,46.018734,3.4745492
53.956004,251.2403912,46.0791147,-0.7718246,-0.0006486,46.1693703,3.4508063
55.9543746,252.6350809,47.5103209,-0.7731331,-0.000661,46.3184923,3.4272741
57.9527451,254.0316555,48.939679,-0.7744665,-0.0006735,46.4661238,3.4039497
59.9511156,255.4301476,50.3671513,-0.7758247,-0.0006859,46.6122877,3.3808304
61.9494861,256.8306052,51.7927157,-0.7772079,-0.0006984,46.7570066,3.3579133
63.9478566,258.2330455,53.2163188,-0.7786159,-0.0007108,46.9003025,3.3351958
65.9462272,259.6375009,54.6379228,-0.7800487,-0.0007232,47.0421969,3.3126751
67.9445977,261.0440213,56.0575072,-0.7815066,-0.0007358,47.1827108,3.2903488
69.9429682,262.4526212,57.4750155,-0.7829895,-0.0007481,47.3218646,3.2682143
71.9413387,263.8633325,58.8904105,-0.7844961,-0.0007598,47.4596784,3.246269
73.9397092,265.2762063,60.3036723,-0.7860312,-0.0007766,47.5961718,3.2245106
75.9380798,266.6912648,61.7147324,-0.7876008,-0.0007948,47.7313639,3.2029367
77.9364503,268.1085574,63.1235373,-0.7892087,-0.0008144,47.8652735,3.1815449
79.9348208,269.5281533,64.5300464,-0.7908552,-0.0008334,47.9979189,3.160333
81.9331913,270.9500826,65.9341826,-0.7925395,-0.0008524,48.129318,3.1360657
83.9315618,272.3743961,67.3358891,-0.794262,-0.0008715,48.2593545,3.1119774
85.9299324,273.801161,68.7351252,-0.7960226,-0.0008905,48.3880467,3.0881172
87.9283029,275.2304069,70.1318133,-0.7978213,-0.0009096,48.5154148,3.0644822
89.9266734,276.6621836,71.5258955,-0.799658,-0.0009287,48.6414783,3.0410693
91.9250439,278.0965576,72.9173304,-0.8015329,-0.0009477,48.7662566,3.0178756
93.9234144,279.5335573,74.3060395,-0.8034459,-0.0009668,48.8897683,2.9948981
95.921785,280.9732317,75.6919642,-0.805397,-0.0009859,49.012032,2.972134
97.9201555,282.4156465,77.075062,-0.8073862,-0.0010049,49.1330655,2.9495805
99.918526,283.8608288,78.4552536,-0.8094135,-0.001024,49.2528866,2.9272349
101.9168965,285.308827,79.8324795,-0.8114789,-0.0010431,49.3715124,2.9050946
103.915267,286.7597055,81.2066961,-0.8135825,-0.0010622,49.4889599,2.8831568
105.9136376,288.2134906,82.5778232,-0.8157242,-0.0010813,49.6052455,2.8614191
107.9120081,289.6702293,83.9458004,-0.8179041,-0.0011004,49.7203855,2.8398789
109.9103786,291.1299855,85.310583,-0.8201222,-0.0011195,49.8343957,2.8185337
111.9087491,292.5927841,86.6720898,-0.8223784,-0.0011386,49.9472916,2.7973811
113.9071196,294.058671,88.0302594,-0.8246728,-0.0011577,50.0590886,2.7764187
115.9054902,295.5277091,89.3850461,-0.8270055,-0.0011768,50.1698014,2.7556442
