s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,142.7460396,-131.7827652,-2.1857199,-0.0001379,56.1616004,1.6882716
1.998066,144.3779337,-132.9356688,-2.1860005,-0.000143,56.2216321,1.669047
3.996132,146.0094988,-134.089039,-2.1862913,-0.0001481,56.2809173,1.6500572
5.9941979,147.6407231,-135.2428924,-2.1865924,-0.0001533,56.3394666,1.6312987
7.9922639,149.2715928,-136.3972445,-2.1869038,-0.0001584,56.3972905,-2.4258476
9.9903299,150.9020977,-137.552113,-2.1872254,-0.0001635,56.311281,-13.4225235
11.9883959,152.5322258,-138.7075148,-2.1875573,-0.0001687,55.8329848,-13.3823827
13.9864619,154.1619631,-139.8634649,-2.1878994,-0.0001738,55.3520047,-13.3428619
15.9845279,155.7912995,-141.0199814,-2.1882518,-0.0001789,54.8682476,-13.3039574
17.9825938,157.4202229,-142.1770809,-2.1886145,-0.0001841,54.3816166,-13.2656659
19.9806598,159.0487194,-143.3347785,-2.1889874,-0.0001892,53.8920112,-13.2279838
21.9787258,160.6767787,-144.4930921,-2.1893706,-0.0001944,53.3993268,-13.1909078
23.9767918,162.3043887,-145.6520384,-2.1897641,-0.0001995,52.9034545,-13.1544347
25.9748578,163.9315353,-146.8116323,-2.1901678,-0.0002046,52.4042807,-13.1185612
27.9729238,165.5582084,-147.9718919,-2.1905818,-0.0002098,51.9016872,-13.0832841
29.9709897,167.1843957,-149.1328337,-2.1910061,-0.0002149,51.3955504,-13.0486003
31.9690557,168.810083,-150.2944726,-2.1914406,-0.00022,50.8857414,-13.0145067
33.9671217,170.4352601,-151.4568267,-2.1918853,-0.0002252,50.3721251,-12.9810002
35.9651877,172.0599148,-152.6199123,-2.1923404,-0.0002303,49.8545605,-12.9480778
37.9632537,173.6840327,-153.7837444,-2.1928057,-0.0002354,49.3328995,-12.9157368
39.9613197,175.3076036,-154.9483409,-2.1932812,-0.0002406,48.806987,-12.8839741
41.9593856,176.9306153,-156.1137182,-2.1937671,-0.0002457,48.2766602,-12.852787
43.9574516,178.5530531,-157.2798911,-2.1942632,-0.0002509,47.7417479,-12.8221727
45.9555176,180.174907,-158.4468777,-2.1947695,-0.000256,47.2020698,-12.7921285
47.9535836,181.7961646,-159.6146942,-2.1952861,-0.0002611,46.6574363,-12.7626511
49.9516496,183.416811,-160.7833552,-2.195813,-0.0002663,46.1076471,-12.7337397
51.9497156,185.0368363,-161.9528789,-2.1963501,-0.0002714,45.5524908,-12.7053915
53.9477815,186.656228,-163.1232815,-2.1968975,-0.0002765,44.9917437,-12.6775951
55.9458475,188.274971,-164.2945774,-2.1974552,-0.0002817,44.4251692,-12.65037
57.9439135,189.8930556,-165.4667849,-2.1980231,-0.0002868,43.8525154,-12.6237122
59.9419795,191.5104688,-166.6399199,-2.1986013,-0.0002919,43.2735149,-12.5975134
61.9400455,193.1271954,-167.8139967,-2.1991897,-0.0002971,42.6878878,-12.5762133
63.9381115,194.7432253,-168.9890328,-2.1997873,-0.0002998,42.0951251,-12.5597284
