s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,142.6215749,-131.9859431,-2.1875137,-8.36E-05,56.0691478,1.7178697
1.9988106,144.2520732,-133.1421146,-2.1876818,-8.46E-05,56.1303548,1.6982758
3.9976212,145.8823718,-134.2985591,-2.187852,-8.56E-05,56.1907981,1.6789218
5.9964317,147.5124723,-135.4552824,-2.1880241,-8.66E-05,56.2504888,1.6598044
7.9952423,149.1423744,-136.6122895,-2.1881984,-8.77E-05,56.3094375,-2.1504114
9.9940529,150.7720723,-137.7695811,-2.1883746,-8.87E-05,56.2330528,-13.6635045
11.9928635,152.4015664,-138.9271625,-2.1885528,-8.97E-05,55.7452663,-13.6312438
13.991674,154.030851,-140.0850347,-2.1887331,-9.07E-05,55.2543407,-13.5991624
15.9904846,155.6599263,-141.2432026,-2.1889154,-9.17E-05,54.760185,-13.5672596
17.9892952,157.2887925,-142.4016714,-2.1890997,-9.27E-05,54.2627045,-13.5355325
19.9881058,158.9174382,-143.560438,-2.1892861,-9.37E-05,53.7618003,-13.503982
21.9869163,160.5458694,-144.7195116,-2.1894745,-9.47E-05,53.2573691,-13.4726073
23.9857269,162.1740861,-145.8788972,-2.1896649,-9.58E-05,52.7493032,-13.4414058
25.9845375,163.8020712,-147.0385875,-2.1898573,-9.68E-05,52.2374898,-13.4103784
27.9833481,165.4298366,-148.198596,-2.1900517,-9.78E-05,51.7218109,-13.3795244
29.9821586,167.0573821,-149.3589275,-2.1902482,-9.88E-05,51.2021431,-13.3488411
31.9809692,168.6846851,-150.5195709,-2.1904467,-9.98E-05,50.6783568,-13.3183295
33.9797798,170.311763,-151.6805435,-2.1906472,-0.0001008,50.1503162,-13.2879891
35.9785904,171.9386156,-152.8418503,-2.1908497,-0.0001018,49.6178785,-13.2578169
37.9774009,173.5652147,-154.0034759,-2.1910543,-0.0001029,49.0808938,-13.2278142
39.9762115,175.1915834,-155.165442,-2.1912609,-0.0001039,48.5392042,-13.1979803
41.9750221,176.8177213,-156.3277532,-2.1914695,-0.0001049,47.9926434,-13.1683133
43.9738327,178.4435946,-157.4903904,-2.1916802,-0.0001059,47.4410359,-13.138812
45.9726432,180.0692323,-158.6533792,-2.1918929,-0.0001069,46.8841967,-13.109476
47.9714538,181.6946335,-159.816724,-2.1921076,-0.0001079,46.3219298,-13.0803157
49.9702644,183.3197594,-160.9804021,-2.1923244,-0.0001089,45.7540275,-13.0512993
51.969075,184.9446438,-162.1444427,-2.1925431,-0.00011,45.180271,-13.0224276
53.9678855,186.5692865,-163.3088505,-2.192764,-0.000111,44.6004277,-12.9938678
55.9666961,188.1936438,-164.4735994,-2.1929868,-0.000112,44.014243,-12.9652006
57.9655067,189.8177501,-165.6387189,-2.1932117,-0.0001131,43.4214651,-12.9364438
59.9643173,191.441614,-166.8042204,-2.1934389,-0.0001143,42.8218242,-12.9097271
61.9631278,193.0651928,-167.9700787,-2.1936676,-0.0001145,42.2149314,-12.8451163
63.9619384,194.6885469,-169.1363431,-2.1939073,-0.0001367,41.6022899,-12.7431898
65.960749,196.3115015,-170.3029983,-2.1942264,-0.0001826,40.9854618,-12.6442977
67.9595596,197.9341379,-171.4703239,-2.1946383,-0.0002295,40.3641049,-12.5503767
69.9583701,199.5561728,-172.6383466,-2.195144,-0.0002765,39.7377568,-12.4613704
71.9571807,201.1774801,-173.8072063,-2.1957434,-0.0003233,39.1059264,-12.3768166
73.9559913,202.7982033,-174.9772376,-2.1964367,-0.0003704,38.4681122,-12.2969372
75.9548019,204.4179714,-176.1484044,-2.197224,-0.0004174,37.8237644,-12.2216801
77.9536124,206.0366525,-177.3208431,-2.1981055,-0.0004646,37.1722949,-12.1503322
79.952423,207.6544631,-178.4949438,-2.1990817,-0.0005122,36.5131084,-12.0843857
81.9512336,209.2709629,-179.6706218,-2.200153,-0.0005593,35.8454779,-12.0237122
83.9500442,210.8860116,-180.8480071,-2.2013173,-0.0006058,35.168623,-11.9614861
